,name,product,kind,date,month,represent,region
735, 엔피,기타 사업지원 서비스업,"브랜드 익스피어리언스, XR 콘텐츠, 메타버스",2018-09-13,12월,백승업..,서울특별시
736, 피엔티엠에스,특수 목적용 기계 제조업,"2차전지 분리막 제조설비, 디스플레이용 생산설비",2018-09-13,12월,김준섭,대구광역시
737, 엔솔바이오사이언스,자연과학 및 공학 연구개발업,"퇴행성디스크 치료제, 골관절염 치료제, 동물용 골관절염 치료제",2018-09-10,12월,김해진,대전광역시
738, 디지캡,소프트웨어 개발 및 공급업,"보호솔루션, 방송서비스솔루션 등",2018-09-07,12월,범진규,서울특별시
739, 지니틱스,반도체 제조업,반도체 IC,2018-08-30,12월,남화성,경기도
740, 액트로,전자부품 제조업,모바일용 액츄에이터 및 조립자동화 설비,2018-08-28,12월,하동길,경기도
741, 오파스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축 및 유지보수,2018-08-24,12월,장수현,서울특별시
742, 브이엠,특수 목적용 기계 제조업,300mm Poly Etch System,2018-08-23,12월,최우형..,경기도
743, 바이오솔루션,기초 의약물질 제조업,"세포치료제, 인체조직모델 등",2018-08-20,12월,장송선,서울특별시
744, 더콘텐츠온,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화제작, 투자, 배급 및 영화디지털배급",2018-08-13,12월,김상윤,서울특별시
745, 대유,"비료, 농약 및 살균, 살충제 제조업","4종복합비료, 농약",2018-08-10,12월,정치훈,서울특별시
746, 신한알파리츠,부동산 임대 및 공급업,비거주 부동산 임대 서비스업,2018-08-08,03월,이준구,서울특별시
747, 디아이티,특수 목적용 기계 제조업,평판디스플레이 검사장비,2018-08-07,12월,박종철,경기도
748, 에스에스알,소프트웨어 개발 및 공급업,"취약점 진단 솔루션, 모의해킹 컨설팅",2018-08-06,12월,고필주,서울특별시
749, 한일시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈",2018-08-06,12월,전근식,서울특별시
750, 휴네시온,소프트웨어 개발 및 공급업,망간자료전송(i-oneNet),2018-08-02,12월,정동섭,서울특별시
751, 티웨이항공,항공 여객 운송업,저가 항공운송,2018-08-01,12월,정홍근,대구광역시
752, 롯데이노베이트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI",2018-07-27,12월,고두영,서울특별시
753, 한국유니온제약,의약품 제조업,"항생제, 순환기계, 근골격계, 소화기계류 완제의약품",2018-07-26,12월,백병하..,강원특별자치도
754, 그리티,봉제의복 제조업,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)",2018-07-23,12월,문영우,서울특별시
755, 알로이스,통신 및 방송 장비 제조업,안드로이드 OTT 멀티미디어 디바이스,2018-07-20,12월,권충식,경기도
756, 올릭스,자연과학 및 공학 연구개발업,siRNA 신약 개발,2018-07-18,12월,이동기,경기도
757, 테크트랜스,기타 금속 가공제품 제조업,비철금속표면처리장비 및 솔루션,2018-07-13,12월,유재인,경상북도
758, 효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-,2018-07-13,12월,우태희,서울특별시
759, 효성첨단소재,화학섬유 제조업,PET타이어코드,2018-07-13,12월,조용수,서울특별시
760, 효성티앤씨,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등",2018-07-13,12월,김치형,서울특별시
761, 효성화학,기초 화학물질 제조업,-,2018-07-13,12월,이건종,서울특별시
762, 아이큐어,의약품 제조업,"플라스타, 의약 및 의약외품 패취등, 마스크팩, 화장품 기초라인",2018-07-12,12월,이영석,서울특별시
763, SV인베스트먼트,기타 금융업,중소/벤처기업 투자 및 육성,2018-07-06,03월,박성호..,서울특별시
764, 엘리비젼,영상 및 음향기기 제조업,"디지털 사이니지, 키오스크 등",2018-07-05,12월,안덕근,인천광역시
765, 지앤이헬스케어,기타 섬유제품 제조업,면생리대,2018-06-29,12월,장영민,경기도
766, 이리츠코크렙,부동산 임대 및 공급업,부동산투자회사,2018-06-27,06월,김영규,서울특별시
767, EDGC,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018-06-26,12월,대표이..,인천광역시
768, 에스엠비나,봉제의복 제조업,여성의류,2018-06-25,12월,민상식,서울특별시
769, HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,최익훈..,서울특별시
770, 카이노스메드,자연과학 및 공학 연구개발업,기업인수합병,2018-06-08,12월,이기섭,경기도
771, 파워넷,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전력변환장치,2018-06-07,12월,김상우..,서울특별시
772, 현대사료,동물용 사료 및 조제식품 제조업,"양계, 양돈 배합사료",2018-06-01,12월,한 도,충청남도
